id,country,country_2,city,institution,cond,response,above40,male,coworkers,computer,other_bystanders
24937,38,UAE,241,5,0,100,0,1,0,1,1
24990,38,UAE,267,3,0,0,0,1,0,1,1
25168,38,UAE,340,5,1,0,0,1,1,1,1
24852,38,UAE,237,5,1,100,0,1,0,1,0
24855,38,UAE,237,5,1,100,0,1,1,1,1
25101,38,UAE,327,4,1,0,0,1,1,0,1
25082,38,UAE,327,1,1,0,0,0,0,1,1
25160,38,UAE,340,5,0,100,0,1,0,1,1
25088,38,UAE,327,2,1,0,1,0,0,1,1
25132,38,UAE,340,2,1,100,1,1,0,1,1
24860,38,UAE,240,1,0,0,0,1,0,1,1
25151,38,UAE,340,4,0,0,0,1,1,1,1
24966,38,UAE,267,2,0,0,0,1,0,1,1
25065,38,UAE,273,3,1,0,0,1,0,1,1
24820,38,UAE,237,3,1,0,0,0,1,1,0
25024,38,UAE,267,4,1,0,0,1,0,0,0
25131,38,UAE,340,2,1,100,1,1,1,1,1
24963,38,UAE,267,1,1,0,0,0,1,1,1
25016,38,UAE,267,4,0,0,1,1,1,1,0
25069,38,UAE,273,4,1,0,1,1,1,1,1
24928,38,UAE,241,4,0,0,1,1,0,1,0
24922,38,UAE,241,3,0,0,0,0,1,1,1
24940,38,UAE,241,5,1,0,0,1,0,0,0
25006,38,UAE,267,4,0,0,0,0,0,1,1
25089,38,UAE,327,3,0,0,1,0,0,1,1
24867,38,UAE,240,1,1,0,0,0,1,1,1
24777,38,UAE,237,1,0,0,0,0,0,1,1
25106,38,UAE,327,5,0,0,0,1,0,1,0
25068,38,UAE,273,4,0,0,0,1,0,1,0
24969,38,UAE,267,2,0,0,1,0,1,1,1
24815,38,UAE,237,3,0,0,0,1,1,1,1
25052,38,UAE,273,1,1,100,0,0,1,1,0
24814,38,UAE,237,3,0,100,0,1,1,1,1
24948,38,UAE,267,1,0,0,1,1,0,0,1
25158,38,UAE,340,4,1,0,0,1,1,1,1
24802,38,UAE,237,2,1,100,0,0,0,1,1
24974,38,UAE,267,2,1,0,0,0,1,1,1
25017,38,UAE,267,4,0,100,0,1,0,1,1
25122,38,UAE,340,1,1,100,1,1,1,1,1
25037,38,UAE,267,5,0,0,0,1,1,0,0
24930,38,UAE,241,4,1,100,0,0,0,1,1
25028,38,UAE,267,4,1,0,0,1,0,1,1
24794,38,UAE,237,2,0,0,0,1,1,0,0
24883,38,UAE,240,4,1,0,0,1,0,1,1
25040,38,UAE,267,5,1,100,0,1,0,1,0
24947,38,UAE,267,1,0,0,0,1,1,1,1
25145,38,UAE,340,3,1,0,0,0,0,1,1
24949,38,UAE,267,1,0,0,1,1,0,1,1
24828,38,UAE,237,3,1,100,0,0,1,1,1
25110,38,UAE,327,5,1,0,1,1,0,0,1
24995,38,UAE,267,3,1,0,0,0,0,1,1
25108,38,UAE,327,5,1,0,0,1,1,0,1
25112,38,UAE,340,1,0,0,1,1,0,1,1
24857,38,UAE,237,5,1,0,1,1,1,0,0
25008,38,UAE,267,4,0,0,1,1,1,1,0
25041,38,UAE,267,5,1,100,1,1,0,1,1
24842,38,UAE,237,5,0,100,0,1,1,1,1
24832,38,UAE,237,4,0,0,0,0,0,1,0
24827,38,UAE,237,3,1,0,0,1,0,1,1
25117,38,UAE,340,1,0,0,0,0,0,1,1
25141,38,UAE,340,3,0,0,0,0,0,1,0
24893,38,UAE,240,5,1,100,1,1,1,1,1
25103,38,UAE,327,5,0,0,1,1,0,1,1
24912,38,UAE,241,2,1,100,0,1,0,0,1
25138,38,UAE,340,2,1,100,1,1,0,1,1
24786,38,UAE,237,1,1,100,0,1,1,1,1
24924,38,UAE,241,3,1,0,0,1,0,1,1
24808,38,UAE,237,2,1,100,0,0,0,1,0
24931,38,UAE,241,5,0,0,1,1,0,0,0
24914,38,UAE,241,2,1,0,1,1,1,0,1
24913,38,UAE,241,2,1,100,1,0,0,0,0
24908,38,UAE,241,2,0,0,1,1,0,0,0
25154,38,UAE,340,4,0,100,0,1,1,1,1
25134,38,UAE,340,2,1,0,1,1,0,0,0
24847,38,UAE,237,5,1,0,0,1,1,1,1
24870,38,UAE,240,2,1,100,0,1,1,0,0
25059,38,UAE,273,3,0,0,0,1,0,1,1
25148,38,UAE,340,3,1,100,0,1,1,1,1
24878,38,UAE,240,3,1,100,0,0,0,1,1
24945,38,UAE,267,1,0,0,0,0,1,1,1
24862,38,UAE,240,1,0,0,0,0,1,1,1
25080,38,UAE,327,1,0,0,0,0,0,1,1
24823,38,UAE,237,3,1,100,1,0,0,1,1
24825,38,UAE,237,3,1,100,0,0,0,1,1
24935,38,UAE,241,5,0,0,0,1,1,0,1
24799,38,UAE,237,2,0,0,1,1,0,1,0
24850,38,UAE,237,5,1,0,0,1,0,0,1
25167,38,UAE,340,5,1,0,0,1,0,0,1
25149,38,UAE,340,3,1,0,0,0,1,1,1
24994,38,UAE,267,3,1,0,1,1,1,1,1
25027,38,UAE,267,4,1,0,0,0,0,1,1
24779,38,UAE,237,1,0,0,1,1,0,1,0
24838,38,UAE,237,5,0,0,0,1,1,1,1
24953,38,UAE,267,1,0,0,0,0,1,1,1
24904,38,UAE,241,1,1,0,0,1,0,0,1
25143,38,UAE,340,3,0,0,0,0,0,1,1
24952,38,UAE,267,1,0,0,1,0,1,1,1
25121,38,UAE,340,1,1,0,0,0,0,1,1
25165,38,UAE,340,5,0,0,0,1,1,1,1
24962,38,UAE,267,1,1,100,1,1,1,1,0
25076,38,UAE,327,1,0,0,0,1,0,0,1
25118,38,UAE,340,1,0,0,0,0,0,1,1
25162,38,UAE,340,5,0,0,1,1,1,1,1
25038,38,UAE,267,5,0,0,0,1,0,0,0
25023,38,UAE,267,4,1,0,1,1,0,0,1
24809,38,UAE,237,2,1,100,0,0,0,1,1
24946,38,UAE,267,1,0,0,1,0,0,1,1
25025,38,UAE,267,4,1,0,0,0,0,1,1
24891,38,UAE,240,5,1,100,0,1,0,1,1
25042,38,UAE,267,5,1,100,0,1,1,1,0
25144,38,UAE,340,3,0,100,0,1,1,1,1
24918,38,UAE,241,3,0,0,0,0,1,1,1
24954,38,UAE,267,1,1,0,0,0,1,1,1
25034,38,UAE,267,5,0,100,0,0,1,1,0
25142,38,UAE,340,3,0,0,0,0,0,1,0
24997,38,UAE,267,3,1,100,1,0,1,1,1
25166,38,UAE,340,5,1,0,0,1,0,1,1
24938,38,UAE,241,5,1,0,0,1,1,0,0
24897,38,UAE,241,1,0,0,0,1,1,1,1
24976,38,UAE,267,2,1,100,0,1,0,1,0
25061,38,UAE,273,3,0,0,0,1,0,1,1
25066,38,UAE,273,3,1,0,0,0,1,1,1
24830,38,UAE,237,3,1,0,0,0,0,1,1
24806,38,UAE,237,2,1,0,0,1,0,0,0
24816,38,UAE,237,3,0,100,0,1,0,1,1
24906,38,UAE,241,2,0,0,0,1,1,0,0
24911,38,UAE,241,2,1,0,0,0,0,1,1
24942,38,UAE,241,5,1,100,0,1,1,1,0
24871,38,UAE,240,3,0,0,0,1,0,1,1
24793,38,UAE,237,2,0,0,0,0,0,1,1
25044,38,UAE,267,5,1,0,0,0,0,1,1
24895,38,UAE,241,1,0,0,1,1,1,1,1
24959,38,UAE,267,1,1,0,1,1,0,0,1
24812,38,UAE,237,3,0,0,0,0,1,1,1
25062,38,UAE,273,3,0,0,1,0,1,1,1
24848,38,UAE,237,5,1,0,0,1,0,1,0
25105,38,UAE,327,5,0,0,0,1,1,0,1
24826,38,UAE,237,3,1,100,0,0,1,1,1
24782,38,UAE,237,1,0,100,1,1,1,1,1
25060,38,UAE,273,3,0,0,0,1,0,1,0
25092,38,UAE,327,3,0,0,0,0,1,0,1
24807,38,UAE,237,2,1,0,1,0,1,1,1
25051,38,UAE,273,1,1,0,1,0,1,1,1
24955,38,UAE,267,1,1,0,1,1,0,1,0
25058,38,UAE,273,2,1,100,0,0,1,1,0
24894,38,UAE,241,1,0,0,1,1,0,0,0
24789,38,UAE,237,1,1,0,0,0,1,1,1
25055,38,UAE,273,2,0,0,1,0,0,0,0
24874,38,UAE,240,3,0,0,0,0,1,1,0
25070,38,UAE,273,4,1,0,0,1,0,1,0
24889,38,UAE,240,5,1,100,0,1,1,1,1
24795,38,UAE,237,2,0,100,1,1,0,1,1
24923,38,UAE,241,3,1,0,0,1,0,1,1
24961,38,UAE,267,1,1,0,0,0,0,1,1
25033,38,UAE,267,5,0,0,0,1,0,1,1
24975,38,UAE,267,2,1,0,0,1,0,0,1
24921,38,UAE,241,3,0,0,0,0,1,1,1
24965,38,UAE,267,2,0,0,1,0,0,1,1
25102,38,UAE,327,4,1,0,0,1,1,1,0
25073,38,UAE,273,5,0,0,1,1,0,1,1
25163,38,UAE,340,5,0,0,0,1,0,0,1
25161,38,UAE,340,5,0,0,1,1,1,1,1
25035,38,UAE,267,5,0,0,0,1,1,0,1
25150,38,UAE,340,3,1,0,0,1,1,1,1
25127,38,UAE,340,2,0,0,1,0,1,1,1
25125,38,UAE,340,2,0,0,0,0,1,1,1
24778,38,UAE,237,1,0,100,1,1,1,0,0
25029,38,UAE,267,4,1,0,0,0,1,1,1
25107,38,UAE,327,5,0,0,0,1,1,1,1
25100,38,UAE,327,4,1,100,1,1,0,1,0
25097,38,UAE,327,3,1,0,0,0,1,1,0
