id,country,country_2,response
24970,38,UAE,0
24887,38,UAE,0
24981,38,UAE,0
24881,38,UAE,0
25093,38,UAE,0
24829,38,UAE,100
25170,38,UAE,0
25005,38,UAE,100
24977,38,UAE,0
25063,38,UAE,100
24835,38,UAE,0
25067,38,UAE,0
24884,38,UAE,0
24925,38,UAE,0
24916,38,UAE,0
25086,38,UAE,100
25013,38,UAE,0
24979,38,UAE,100
24819,38,UAE,0
25140,38,UAE,0
24950,38,UAE,0
24833,38,UAE,0
25045,38,UAE,0
24822,38,UAE,0
25171,38,UAE,0
24987,38,UAE,0
24899,38,UAE,0
25003,38,UAE,0
24943,38,UAE,0
25130,38,UAE,0
25104,38,UAE,0
25046,38,UAE,100
24810,38,UAE,0
25128,38,UAE,0
25020,38,UAE,0
25007,38,UAE,0
25078,38,UAE,0
24901,38,UAE,0
25153,38,UAE,0
24992,38,UAE,0
25120,38,UAE,100
25137,38,UAE,100
24958,38,UAE,100
24788,38,UAE,0
24877,38,UAE,100
25054,38,UAE,0
24971,38,UAE,0
25147,38,UAE,0
24790,38,UAE,0
24915,38,UAE,100
24783,38,UAE,100
24803,38,UAE,100
25159,38,UAE,0
24873,38,UAE,100
24934,38,UAE,0
25074,38,UAE,0
24996,38,UAE,0
24936,38,UAE,0
24968,38,UAE,100
24985,38,UAE,0
25135,38,UAE,100
25096,38,UAE,0
25169,38,UAE,0
24980,38,UAE,0
25012,38,UAE,0
25146,38,UAE,100
24951,38,UAE,0
25099,38,UAE,0
25048,38,UAE,0
25119,38,UAE,100
24776,38,UAE,0
24824,38,UAE,0
25002,38,UAE,0
25085,38,UAE,100
24865,38,UAE,0
25011,38,UAE,0
25090,38,UAE,0
25133,38,UAE,0
25136,38,UAE,0
24956,38,UAE,0
25157,38,UAE,0
25071,38,UAE,0
25053,38,UAE,100
25111,38,UAE,0
24853,38,UAE,0
25057,38,UAE,0
24920,38,UAE,0
24869,38,UAE,0
25126,38,UAE,0
24886,38,UAE,100
25075,38,UAE,0
24898,38,UAE,0
25050,38,UAE,0
24907,38,UAE,0
24993,38,UAE,0
24872,38,UAE,0
25001,38,UAE,0
24841,38,UAE,0
24780,38,UAE,0
24856,38,UAE,0
25115,38,UAE,0
24983,38,UAE,0
24937,38,UAE,100
24990,38,UAE,0
25168,38,UAE,0
24852,38,UAE,100
24855,38,UAE,100
25101,38,UAE,0
25082,38,UAE,0
25160,38,UAE,100
25088,38,UAE,0
25132,38,UAE,100
24860,38,UAE,0
25151,38,UAE,0
24966,38,UAE,0
25065,38,UAE,0
24820,38,UAE,0
25024,38,UAE,0
25131,38,UAE,100
24963,38,UAE,0
25016,38,UAE,0
25069,38,UAE,0
24928,38,UAE,0
24922,38,UAE,0
24940,38,UAE,0
25006,38,UAE,0
25089,38,UAE,0
24867,38,UAE,0
24777,38,UAE,0
25106,38,UAE,0
25068,38,UAE,0
24969,38,UAE,0
24815,38,UAE,0
25052,38,UAE,100
24814,38,UAE,100
24948,38,UAE,0
25158,38,UAE,0
24802,38,UAE,100
24974,38,UAE,0
25017,38,UAE,100
25122,38,UAE,100
25037,38,UAE,0
24930,38,UAE,100
25028,38,UAE,0
24794,38,UAE,0
24883,38,UAE,0
25040,38,UAE,100
24947,38,UAE,0
25145,38,UAE,0
24949,38,UAE,0
24828,38,UAE,100
25110,38,UAE,0
24995,38,UAE,0
25108,38,UAE,0
25112,38,UAE,0
24857,38,UAE,0
25008,38,UAE,0
25041,38,UAE,100
24842,38,UAE,100
24832,38,UAE,0
24827,38,UAE,0
25117,38,UAE,0
25141,38,UAE,0
24893,38,UAE,100
25103,38,UAE,0
24912,38,UAE,100
25138,38,UAE,100
24786,38,UAE,100
24924,38,UAE,0
24808,38,UAE,100
24931,38,UAE,0
24914,38,UAE,0
24913,38,UAE,100
24908,38,UAE,0
25154,38,UAE,100
25134,38,UAE,0
24847,38,UAE,0
24870,38,UAE,100
25059,38,UAE,0
25148,38,UAE,100
24878,38,UAE,100
24945,38,UAE,0
24862,38,UAE,0
25080,38,UAE,0
24823,38,UAE,100
24825,38,UAE,100
24935,38,UAE,0
24799,38,UAE,0
24850,38,UAE,0
25167,38,UAE,0
25149,38,UAE,0
24994,38,UAE,0
25027,38,UAE,0
24779,38,UAE,0
24838,38,UAE,0
24953,38,UAE,0
24904,38,UAE,0
25143,38,UAE,0
24952,38,UAE,0
25121,38,UAE,0
25165,38,UAE,0
24962,38,UAE,100
25076,38,UAE,0
25118,38,UAE,0
25162,38,UAE,0
25038,38,UAE,0
25023,38,UAE,0
24809,38,UAE,100
24946,38,UAE,0
25025,38,UAE,0
24891,38,UAE,100
25042,38,UAE,100
25144,38,UAE,100
24918,38,UAE,0
24954,38,UAE,0
25034,38,UAE,100
25142,38,UAE,0
24997,38,UAE,100
25166,38,UAE,0
24938,38,UAE,0
24897,38,UAE,0
24976,38,UAE,100
25061,38,UAE,0
25066,38,UAE,0
24830,38,UAE,0
24806,38,UAE,0
24816,38,UAE,100
24906,38,UAE,0
24911,38,UAE,0
24942,38,UAE,100
24871,38,UAE,0
24793,38,UAE,0
25044,38,UAE,0
24895,38,UAE,0
24959,38,UAE,0
24812,38,UAE,0
25062,38,UAE,0
24848,38,UAE,0
25105,38,UAE,0
24826,38,UAE,100
